"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"78,Jalen Brunson\brunsja01,PG,22,DAL,69,1476,13.1,.556,.323,.210,1.8,9.5,5.7,21.9,1.2,0.2,12.4,19.0,,1.6,1.0,2.5,.083,,-0.6,-1.6,-2.2,-0.1"
"79,Thomas Bryant\bryanth01,C,21,WAS,68,1386,20.5,.665,.197,.268,8.2,25.1,16.5,9.0,0.8,3.8,9.6,17.5,,3.8,1.2,5.0,.173,,0.9,0.3,1.2,1.1"
"80,Reggie Bullock\bullore01,SG,27,TOT,62,1849,10.5,.562,.661,.146,1.3,8.8,5.0,10.2,1.0,0.5,9.3,15.8,,1.6,1.4,3.0,.077,,0.1,-1.0,-0.8,0.5"
"80,Reggie Bullock\bullore01,SG,27,DET,44,1355,11.0,.569,.667,.145,1.6,8.7,5.0,12.0,0.9,0.3,10.3,16.6,,1.4,1.0,2.4,.084,,0.7,-1.2,-0.5,0.5"
"80,Reggie Bullock\bullore01,SG,27,LAL,18,494,9.0,.539,.643,.147,0.4,9.2,4.9,5.3,1.4,1.2,6.2,13.6,,0.2,0.4,0.6,.059,,-1.4,-0.4,-1.8,0.0"
"81,Trey Burke\burketr01,PG,26,TOT,53,1027,16.1,.513,.271,.221,2.7,7.0,4.8,23.7,1.5,0.6,7.5,25.0,,1.1,0.4,1.5,.070,,0.3,-3.1,-2.7,-0.2"
"81,Trey Burke\burketr01,PG,26,NYK,33,689,15.7,.496,.240,.209,2.2,7.4,4.7,23.6,1.5,0.6,6.9,26.0,,0.5,0.2,0.6,.045,,-0.1,-3.3,-3.4,-0.2"
"81,Trey Burke\burketr01,PG,26,DAL,20,338,17.1,.554,.345,.250,3.5,6.3,4.9,24.0,1.4,0.5,8.9,22.9,,0.6,0.2,0.8,.121,,1.2,-2.6,-1.4,0.1"
"82,Alec Burks\burksal01,SG,27,TOT,63,1368,12.7,.523,.354,.297,2.3,17.0,9.4,13.7,1.4,1.3,10.8,19.1,,0.7,0.8,1.5,.053,,-1.5,-0.6,-2.1,0.0"
"82,Alec Burks\burksal01,SG,27,UTA,17,269,12.5,.547,.377,.333,0.8,9.9,5.4,11.2,1.1,1.2,10.3,23.1,,0.2,0.3,0.5,.085,,-2.2,-1.5,-3.7,-0.1"
"82,Alec Burks\burksal01,SG,27,CLE,34,979,13.2,.517,.350,.288,2.8,18.9,10.5,15.0,1.3,1.4,10.7,19.2,,0.6,0.3,0.9,.044,,-1.0,-0.7,-1.7,0.1"
"82,Alec Burks\burksal01,SG,27,SAC,12,120,8.9,.495,.300,.250,0.8,16.6,8.6,9.2,3.1,0.7,15.3,9.0,,0.0,0.2,0.2,.060,,-4.0,2.1,-1.9,0.0"
"83,Deonte Burton\burtode02,SG,25,OKC,29,237,7.2,.474,.333,.123,1.7,10.8,6.1,5.2,1.2,2.8,9.5,16.2,,-0.1,0.3,0.1,.030,,-5.5,-0.5,-6.1,-0.2"
"84,Jimmy Butler\butleji01,SF-SG,29,TOT,63,2135,20.5,.572,.212,.400,6.1,10.5,8.3,18.4,2.7,1.5,8.2,22.3,,5.4,2.5,7.9,.178,,2.8,0.7,3.5,3.0"
